Population_Code,Population,,Latitude,Longitude,Year_start,Year_end,Altitude,Hibiscus_species,Year_start,Year_end,Sex,Sh8,Sh8,Sh8ii,Sh8ii,Sh9,Sh9,Sh13,Sh13,Sh34d,Sh34d,Sh36c,Sh36c,Sh38d,Sh38d,Sh48,Sh48,Sh49,Sh49,Sh72,Sh72,Sh74,Sh74,Sh78,Sh78,Sh81,Sh81,Sh88,Sh88,Sh89,Sh89,Sh90,Sh90,Sh94,Sh94
CAH,Cannon_Hill,,-12.376,132.948,1998,1998,30,zonatus,,,female,177,177,130,130,127,127,80,86,152,152,122,132,112,112,125,125,191,191,161,161,76,76,204,204,135,135,101,117,83,83,134,134,186,190
CAH,Cannon_Hill,,-12.376,132.948,1998,1998,30,zonatus,,,female,171,179,130,130,127,127,82,86,152,152,122,128,112,112,123,125,191,194,161,161,76,76,204,204,135,135,111,115,83,83,134,134,186,190
CAH,Cannon_Hill,,-12.376,132.948,1998,1998,30,zonatus,,,female,171,175,130,130,127,127,86,90,152,154,122,132,112,113,125,125,190,194,161,161,76,76,204,204,135,135,115,117,83,83,134,134,192,192
CAH,Cannon_Hill,,-12.376,132.948,1998,1998,30,zonatus,,,female,175,179,130,130,127,127,84,88,152,154,128,132,110,112,125,125,194,194,161,161,76,76,204,204,135,135,99,115,83,83,134,134,186,192
CAH,Cannon_Hill,,-12.376,132.948,1998,1998,30,zonatus,,,female,177,179,130,130,127,127,80,84,152,154,132,132,110,112,125,125,185,191,161,161,76,76,204,204,135,135,105,117,83,83,134,134,186,192
CAH,Cannon_Hill,,-12.376,132.948,1998,1998,30,zonatus,,,female,179,179,130,130,127,127,72,86,152,152,132,134,110,112,125,125,194,197,161,161,76,76,204,204,135,135,91,117,83,83,134,134,186,190
CAH,Cannon_Hill,,-12.376,132.948,1998,1998,30,zonatus,,,female,171,171,130,130,125,127,80,84,152,152,128,132,112,112,125,125,191,191,161,161,76,76,204,204,135,135,115,115,83,83,134,134,186,190
CAH,Cannon_Hill,,-12.376,132.948,1998,1998,30,zonatus,,,female,177,179,130,130,127,127,80,84,0,0,132,132,112,118,125,125,190,194,161,161,76,76,204,204,135,135,115,117,83,83,134,134,190,192
CAH,Cannon_Hill,,-12.376,132.948,1998,1998,30,zonatus,,,female,171,179,130,130,127,127,72,80,152,152,132,132,110,112,125,125,197,197,161,161,76,76,204,204,135,135,93,117,83,83,134,134,186,198
CAH,Cannon_Hill,,-12.376,132.948,1998,1998,30,zonatus,,,female,171,171,130,130,127,127,82,88,152,152,128,134,110,112,125,125,190,190,161,161,76,76,204,204,135,135,111,111,83,83,134,134,192,192
CAH,Cannon_Hill,,-12.376,132.948,1998,1998,30,zonatus,,,female,171,171,130,130,127,127,80,82,154,154,132,132,112,112,125,125,191,191,161,161,76,76,204,204,135,135,99,117,83,83,134,134,192,192
CAH,Cannon_Hill,,-12.376,132.948,1998,1998,30,zonatus,,,female,177,179,130,130,127,127,84,88,152,152,122,132,110,118,125,125,191,191,161,161,76,76,204,204,135,135,105,117,83,83,134,134,186,192
CAH,Cannon_Hill,,-12.376,132.948,1998,1998,30,zonatus,,,female,171,171,130,130,127,127,80,86,152,154,122,132,110,112,125,125,185,197,161,161,76,76,204,204,135,135,99,115,83,83,134,134,186,190
CAH,Cannon_Hill,,-12.376,132.948,1998,1998,30,zonatus,,,female,171,177,130,130,125,127,72,84,152,152,132,132,110,110,125,125,189,191,161,161,76,76,204,204,135,135,105,115,83,83,134,134,192,192
CAH,Cannon_Hill,,-12.376,132.948,1998,1998,30,zonatus,,,female,171,175,130,130,127,127,72,82,152,152,122,128,110,118,125,125,188,199,161,161,76,76,204,204,135,135,89,91,83,83,134,134,192,192
PET,Pethericks,,-13.12,130.673,1998,1998,130,petherickii,,,male,175,175,130,130,127,127,82,86,152,152,128,132,110,112,125,125,185,190,161,161,76,76,204,204,135,135,99,99,83,83,0,0,186,192
PET,Pethericks,,-13.12,130.673,1998,1998,130,petherickii,,,male,175,177,130,130,666,666,82,86,152,152,132,132,110,110,125,125,185,190,161,161,76,76,204,204,135,135,111,115,83,83,134,134,190,192
PET,Pethericks,,-13.12,130.673,1998,1998,130,petherickii,,,male,177,179,130,130,127,127,72,76,152,154,132,132,112,112,125,125,190,191,161,161,76,76,204,204,135,135,99,111,83,83,134,134,190,192
PET,Pethericks,,-13.12,130.673,1998,1998,130,petherickii,,,male,171,171,130,130,666,666,82,90,152,154,132,134,110,112,125,125,190,190,161,161,76,76,204,204,135,135,105,109,83,83,134,134,192,192
PET,Pethericks,,-13.12,130.673,1998,1998,130,petherickii,,,male,177,177,130,130,127,127,76,86,152,152,0,0,110,112,125,125,190,192,161,161,76,76,204,204,135,135,99,99,83,83,134,134,192,192
PET,Pethericks,,-13.12,130.673,1998,1998,130,petherickii,,,male,175,175,130,130,127,127,72,82,154,154,132,132,112,118,125,125,190,191,161,161,76,76,204,204,135,135,115,115,83,83,134,134,186,186
PET,Pethericks,,-13.12,130.673,1998,1998,130,petherickii,,,male,179,179,130,130,127,127,72,82,152,152,132,132,110,112,125,125,191,191,161,161,76,76,204,204,135,135,99,115,83,83,134,134,0,0
PET,Pethericks,,-13.12,130.673,1998,1998,130,petherickii,,,male,171,181,130,130,127,127,86,90,152,152,122,132,110,118,125,125,185,197,161,161,76,76,204,204,135,135,99,117,83,83,134,134,192,192
PET,Pethericks,,-13.12,130.673,1998,1998,130,petherickii,,,male,171,175,130,130,127,127,82,88,154,154,132,134,118,118,125,125,191,191,161,161,666,666,204,204,135,135,93,105,83,83,0,0,192,192
PET,Pethericks,,-13.12,130.673,1998,1998,130,petherickii,,,male,171,177,130,130,125,125,80,86,154,154,122,122,112,112,125,125,190,192,161,161,76,76,204,204,135,135,117,117,83,83,134,134,186,190
PET,Pethericks,,-13.12,130.673,1998,1998,130,petherickii,,,male,171,177,130,130,127,127,72,88,152,152,132,132,110,110,125,125,185,188,161,161,76,76,204,204,135,135,91,117,83,83,134,134,192,192
PET,Pethericks,,-13.12,130.673,1998,1998,130,petherickii,,,male,177,179,130,130,127,127,82,90,152,154,132,132,112,112,125,125,185,185,161,161,76,76,204,204,135,135,99,99,83,83,134,134,192,192
PET,Pethericks,,-13.12,130.673,1998,1998,130,petherickii,,,male,171,171,130,130,127,127,72,82,152,154,132,132,112,118,125,125,194,194,161,161,76,76,204,204,135,135,99,99,83,83,134,134,190,192
PET,Pethericks,,-13.12,130.673,1998,1998,130,petherickii,,,male,171,171,130,130,127,127,80,90,152,154,132,132,110,112,125,125,188,192,161,161,76,76,204,204,135,135,109,117,83,83,0,0,192,192
PET,Pethericks,,-13.12,130.673,1998,1998,130,petherickii,,,male,175,175,130,130,127,127,86,90,152,152,132,132,110,112,125,125,194,195,161,161,76,76,204,204,135,135,105,105,83,83,134,134,192,192
PET,Pethericks,,-13.12,130.673,1998,1998,130,petherickii,,,male,175,179,130,130,127,127,86,88,152,152,132,132,110,118,125,125,187,190,161,161,76,76,204,204,135,135,113,117,83,83,134,134,190,192
PET,Pethericks,,-13.12,130.673,1998,1998,130,petherickii,,,male,179,179,130,130,125,125,80,86,152,152,132,132,112,112,125,125,185,194,161,161,76,76,204,204,135,135,99,117,83,83,134,134,192,198
PET,Pethericks,,-13.12,130.673,1998,1998,130,petherickii,,,male,171,171,130,130,127,127,82,86,152,154,122,132,112,112,125,125,191,194,161,161,76,76,204,204,135,135,91,99,83,83,134,134,190,190
PET,Pethericks,,-13.12,130.673,1998,1998,130,petherickii,,,male,177,181,130,130,127,127,72,88,152,152,128,132,110,112,125,125,190,194,161,161,76,76,204,204,135,135,89,105,83,83,134,134,190,192
PET,Pethericks,,-13.12,130.673,1998,1998,130,petherickii,,,male,171,175,130,130,127,127,80,86,152,152,132,132,110,112,125,125,190,191,161,161,76,76,204,204,135,135,105,117,83,83,134,134,192,192
PET,Pethericks,,-13.12,130.673,1998,1998,130,petherickii,,,male,177,179,130,130,127,127,82,86,152,152,122,132,112,118,125,125,191,197,161,161,76,76,204,204,135,135,91,117,83,83,134,136,0,0
PET,Pethericks,,-13.12,130.673,1998,1998,130,petherickii,,,female,179,181,130,130,127,127,80,90,152,154,132,132,110,113,125,125,189,194,161,161,76,76,204,204,135,135,99,105,83,83,134,134,192,192
PET,Pethericks,,-13.12,130.673,1998,1998,130,petherickii,,,female,177,179,130,130,127,127,80,86,152,152,132,132,110,112,125,125,190,191,161,161,76,76,204,204,135,135,115,117,83,83,134,134,192,192
PET,Pethericks,,-13.12,130.673,1998,1998,130,petherickii,,,female,171,171,130,130,127,127,86,90,152,152,132,132,112,118,125,125,192,194,161,161,76,76,204,204,135,135,109,117,83,83,134,134,192,198
PET,Pethericks,,-13.12,130.673,1998,1998,130,petherickii,,,female,171,179,130,130,127,127,86,86,152,152,130,132,112,112,125,125,185,188,161,161,76,76,204,204,135,135,115,117,83,83,134,134,190,192
PET,Pethericks,,-13.12,130.673,1998,1998,130,petherickii,,,female,171,179,130,130,127,127,82,82,152,152,132,132,110,112,125,125,194,197,161,161,76,76,204,204,135,135,99,133,83,83,0,0,186,192
PET,Pethericks,,-13.12,130.673,1998,1998,130,petherickii,,,female,175,175,130,130,127,127,72,80,152,152,132,132,112,112,125,125,191,192,161,161,76,76,204,204,135,135,115,117,83,83,134,134,190,190
PET,Pethericks,,-13.12,130.673,1998,1998,130,petherickii,,,female,175,177,130,130,127,127,82,86,154,154,122,132,110,112,125,125,185,191,161,161,76,76,204,204,135,135,99,115,83,83,134,134,190,196
PET,Pethericks,,-13.12,130.673,1998,1998,130,petherickii,,,female,171,177,130,130,127,127,82,90,152,152,132,132,112,112,125,125,185,185,161,161,76,76,204,204,135,135,99,99,83,83,134,134,186,192
PET,Pethericks,,-13.12,130.673,1998,1998,130,petherickii,,,female,171,179,130,130,127,127,82,86,152,154,132,132,110,112,125,125,185,185,161,161,76,76,204,204,135,135,101,111,83,83,134,134,190,190
PET,Pethericks,,-13.12,130.673,1998,1998,130,petherickii,,,female,171,171,130,130,127,127,80,82,152,152,132,132,110,118,125,125,191,191,161,161,76,76,204,204,135,135,99,111,83,83,134,134,190,192
PET,Pethericks,,-13.12,130.673,1998,1998,130,petherickii,,,female,175,177,130,130,127,127,72,86,152,152,130,132,110,112,125,125,190,191,161,161,76,76,204,204,135,135,115,117,83,83,134,134,192,198
PET,Pethericks,,-13.12,130.673,1998,1998,130,petherickii,,,female,171,171,130,130,127,127,86,86,152,154,122,134,112,112,125,125,185,188,161,161,76,76,204,204,135,135,91,117,83,83,134,134,190,192
PET,Pethericks,,-13.12,130.673,1998,1998,130,petherickii,,,female,171,175,130,130,127,127,84,90,152,152,128,132,112,112,125,125,190,190,161,161,76,76,204,204,135,135,99,99,83,83,134,134,190,190
PET,Pethericks,,-13.12,130.673,1998,1998,130,petherickii,,,female,171,171,115,130,127,127,72,86,152,152,122,132,110,112,125,125,194,194,161,161,76,76,204,204,135,135,89,115,83,83,134,134,0,0
PET,Pethericks,,-13.12,130.673,1998,1998,130,petherickii,,,female,171,175,130,130,125,125,86,86,154,154,132,132,110,112,125,125,185,190,161,161,76,76,204,204,135,135,115,117,83,83,134,134,192,192
PET,Pethericks,,-13.12,130.673,1998,1998,130,petherickii,,,female,0,0,130,130,127,127,86,88,152,152,132,132,112,112,125,125,190,194,161,161,76,76,204,204,135,135,99,105,83,83,134,134,190,192
PET,Pethericks,,-13.12,130.673,1998,1998,130,petherickii,,,female,179,181,130,130,127,127,82,82,152,152,132,134,110,112,125,125,191,191,161,161,76,76,204,204,135,135,115,115,83,83,134,134,190,196
PET,Pethericks,,-13.12,130.673,1998,1998,130,petherickii,,,female,177,177,130,130,127,127,72,86,152,152,128,132,112,118,125,125,190,194,161,161,76,76,204,204,135,135,109,111,83,83,134,134,190,192
