Population,Latitude,Longitude,Year_start,Year_end,Altitude_class,Altitude,Run,Vial,Cold_recovery_time
Innisfail,-17.5,146.00,2002,2002,low,10,2,2,73
Innisfail,-17.5,146.00,2002,2002,low,10,1,1,93
Innisfail,-17.5,146.00,2002,2002,low,10,4,2,68
Innisfail,-17.5,146.00,2002,2002,low,10,1,1,98
Innisfail,-17.5,146.00,2002,2002,low,10,1,2,98
Innisfail,-17.5,146.00,2002,2002,low,10,1,2,98
Innisfail,-17.5,146.00,2002,2002,low,10,1,2,
Innisfail,-17.5,146.00,2002,2002,low,10,1,2,
Innisfail,-17.5,146.00,2002,2002,low,10,3,1,
Springbrook,-28.23,153.27,2002,2002,high,1031,1,1,3
Springbrook,-28.23,153.27,2002,2002,high,1031,1,2,5
Springbrook,-28.23,153.27,2002,2002,high,1031,3,2,0
Springbrook,-28.23,153.27,2002,2002,high,1031,3,2,0
Springbrook,-28.23,153.27,2002,2002,high,1031,3,2,
Springbrook,-28.23,153.27,2002,2002,high,1031,3,2,
Springbrook,-28.23,153.27,2002,2002,high,1031,2,1,0
Springbrook,-28.23,153.27,2002,2002,high,1031,2,1,0
Springbrook,-28.23,153.27,2002,2002,high,1031,2,1,0
Springbrook,-28.23,153.27,2002,2002,high,1031,2,2,
Springbrook,-28.23,153.27,2002,2002,high,1031,4,1,0
Springbrook,-28.23,153.27,2002,2002,high,1031,4,1,0
Springbrook,-28.23,153.27,2002,2002,high,1031,4,1,0
Springbrook,-28.23,153.27,2002,2002,high,1031,4,2,0
Springbrook,-28.23,153.27,2002,2002,high,1031,4,2,
Springbrook,-28.23,153.27,2002,2002,high,1031,4,2,
Springbrook,-28.23,153.27,2002,2002,high,1031,2,2,10
Springbrook,-28.23,153.27,2002,2002,high,1031,2,2,12
Springbrook,-28.23,153.27,2002,2002,high,1031,2,2,18
Springbrook,-28.23,153.27,2002,2002,high,1031,2,2,21
Springbrook,-28.23,153.27,2002,2002,high,1031,1,1,42
Springbrook,-28.23,153.27,2002,2002,high,1031,1,2,48
Springbrook,-28.23,153.27,2002,2002,high,1031,1,2,48
Springbrook,-28.23,153.27,2002,2002,high,1031,3,1,34
Springbrook,-28.23,153.27,2002,2002,high,1031,3,1,34
Springbrook,-28.23,153.27,2002,2002,high,1031,4,1,26
Springbrook,-28.23,153.27,2002,2002,high,1031,4,2,26
Springbrook,-28.23,153.27,2002,2002,high,1031,3,1,36
Springbrook,-28.23,153.27,2002,2002,high,1031,3,2,36
Springbrook,-28.23,153.27,2002,2002,high,1031,1,2,53
Springbrook,-28.23,153.27,2002,2002,high,1031,4,1,28
Springbrook,-28.23,153.27,2002,2002,high,1031,3,1,39
Springbrook,-28.23,153.27,2002,2002,high,1031,3,2,39
Springbrook,-28.23,153.27,2002,2002,high,1031,4,1,30
Springbrook,-28.23,153.27,2002,2002,high,1031,4,1,30
Springbrook,-28.23,153.27,2002,2002,high,1031,1,1,56
Springbrook,-28.23,153.27,2002,2002,high,1031,3,1,42
Springbrook,-28.23,153.27,2002,2002,high,1031,3,1,42
Springbrook,-28.23,153.27,2002,2002,high,1031,2,1,42
Springbrook,-28.23,153.27,2002,2002,high,1031,1,1,60
Springbrook,-28.23,153.27,2002,2002,high,1031,1,1,60
Springbrook,-28.23,153.27,2002,2002,high,1031,3,1,46
Springbrook,-28.23,153.27,2002,2002,high,1031,3,1,46
Springbrook,-28.23,153.27,2002,2002,high,1031,3,2,46
Springbrook,-28.23,153.27,2002,2002,high,1031,4,2,38
Springbrook,-28.23,153.27,2002,2002,high,1031,2,1,46
Springbrook,-28.23,153.27,2002,2002,high,1031,2,2,46
Springbrook,-28.23,153.27,2002,2002,high,1031,2,2,47
Springbrook,-28.23,153.27,2002,2002,high,1031,4,1,42
Springbrook,-28.23,153.27,2002,2002,high,1031,2,1,50
Springbrook,-28.23,153.27,2002,2002,high,1031,1,1,68
Springbrook,-28.23,153.27,2002,2002,high,1031,1,1,68
Springbrook,-28.23,153.27,2002,2002,high,1031,4,2,44
Springbrook,-28.23,153.27,2002,2002,high,1031,3,1,54
Springbrook,-28.23,153.27,2002,2002,high,1031,3,1,54
Springbrook,-28.23,153.27,2002,2002,high,1031,3,2,54
Springbrook,-28.23,153.27,2002,2002,high,1031,3,2,54
Springbrook,-28.23,153.27,2002,2002,high,1031,1,2,70
Springbrook,-28.23,153.27,2002,2002,high,1031,4,1,46
Springbrook,-28.23,153.27,2002,2002,high,1031,4,2,46
Springbrook,-28.23,153.27,2002,2002,high,1031,4,2,46
Springbrook,-28.23,153.27,2002,2002,high,1031,2,1,56
Springbrook,-28.23,153.27,2002,2002,high,1031,2,1,56
Springbrook,-28.23,153.27,2002,2002,high,1031,2,1,56
Springbrook,-28.23,153.27,2002,2002,high,1031,2,1,56
Springbrook,-28.23,153.27,2002,2002,high,1031,3,2,59
Springbrook,-28.23,153.27,2002,2002,high,1031,1,1,75
Springbrook,-28.23,153.27,2002,2002,high,1031,2,2,60
Springbrook,-28.23,153.27,2002,2002,high,1031,4,2,54
Springbrook,-28.23,153.27,2002,2002,high,1031,1,2,80
Springbrook,-28.23,153.27,2002,2002,high,1031,1,2,80
Springbrook,-28.23,153.27,2002,2002,high,1031,1,2,84
Springbrook,-28.23,153.27,2002,2002,high,1031,4,1,59
Springbrook,-28.23,153.27,2002,2002,high,1031,2,2,68
Springbrook,-28.23,153.27,2002,2002,high,1031,1,1,93
Springbrook,-28.23,153.27,2002,2002,high,1031,4,2,72
Springbrook,-28.23,153.27,2002,2002,high,1031,1,1,98
Springbrook,-28.23,153.27,2002,2002,high,1031,1,2,99
Springbrook,-28.23,153.27,2002,2002,high,1031,2,2,95
Springbrook,-28.23,153.27,2002,2002,high,1031,1,2,
Kingscliff,-28.28,153.12,2002,2002,low,10,1,2,1
Kingscliff,-28.28,153.12,2002,2002,low,10,1,2,1
Kingscliff,-28.28,153.12,2002,2002,low,10,1,1,4
