Region,Population,Latitude,Longitude,Year_start,Year_end,Number_of_females,Total_number_offspring,Number_of_offspring_per_female,Maximum_number_of_offspring_per_female
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,3,143,47.7,94
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,4,457,114.3,219
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,3,26,8.7,16
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,4,234,58.5,102
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,4,187,46.8,120
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,3,202,67.3,145
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,2,267,133.5,164
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,5,600,120.0,173
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,2,188,94.0,123
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,4,347,86.8,254
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,3,523,174.3,337
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,3,199,66.3,102
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,3,70,23.3,35
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,4,304,76.0,211
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,3,252,84.0,160
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,2,277,138.5,224
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,0,0,,
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,1,106,106.0,106
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,5,398,79.6,144
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,2,219,109.5,218
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,3,31,10.3,23
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,5,251,50.2,79
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,0,0,,
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,1,90,90.0,90
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,4,137,34.3,55
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,3,191,63.7,120
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,2,203,101.5,116
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,4,350,87.5,114
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,1,78,78.0,78
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,2,280,140.0,167
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,3,223,74.3,156
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,0,478,,
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,3,180,60.0,134
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,4,301,75.3,88
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,2,13,6.5,10
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,5,528,105.6,203
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,3,56,18.7,44
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,2,178,89.0,177
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,2,60,30.0,39
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,3,13,4.3,5
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,3,296,98.7,150
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,5,497,99.4,171
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,3,421,140.3,252
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,5,362,72.4,107
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,4,180,45.0,75
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,3,178,59.3,125
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,5,653,130.6,259
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,2,68,34.0,66
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,2,114,57.0,100
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,4,394,98.5,218
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,5,335,67.0,126
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,4,177,44.3,120
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,3,210,70.0,151
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,1,13,13.0,13
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,4,453,113.3,198
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,0,0,,
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,4,335,83.8,176
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,0,0,,
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,5,459,91.8,217
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,3,16,5.3,12
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,3,79,26.3,62
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,0,0,,
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,1,2,2.0,2
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,4,370,92.5,282
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,1,194,194.0,194
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,0,0,,
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,5,196,39.2,54
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,1,2,2.0,2
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,0,0,,
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,0,0,,
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,3,9,3.0,4
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,0,0,,
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,5,300,60.0,162
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,2,121,60.5,118
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,1,42,42.0,42
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,0,0,,
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,2,300,150.0,292
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,2,262,131.0,193
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,4,851,212.8,339
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,2,16,8.0,12
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,3,11,3.7,8
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,0,0,,
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,3,346,115.3,303
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,4,351,87.8,175
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,1,8,8.0,8
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,4,350,87.5,203
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,2,111,55.5,84
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,4,203,50.8,100
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,2,202,101.0,184
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,3,208,69.3,96
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,5,160,32.0,125
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,0,0,,
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,0,0,,
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,0,0,,
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,4,271,67.8,164
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,3,33,11.0,24
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,2,196,98.0,167
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,3,213,71.0,135
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,4,621,155.3,239
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,1,43,43.0,43
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,5,541,108.2,176
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,4,594,148.5,235
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,0,0,,
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,1,83,83.0,83
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,1,184,184.0,184
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,2,55,27.5,53
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,1,67,67.0,67
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,2,245,122.5,204
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,5,222,44.4,61
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,0,0,,
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,2,39,19.5,38
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,5,589,117.8,209
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,1,13,13.0,13
