Population,Latitude,Longitude,Year_start,Year_end,10/06/2000,13/06/2000,16/06/2000,20/06/2000,23/06/2000,27/06/2000,30/06/2000,4/07/2000,7/07/2000,11/07/2000,14/07/2000,18/07/2000,21/07/2000,24/07/2000,27/07/2000,31/07/2000,3/08/2000,7/08/2000,10/08/2000,14/08/2000,17/08/2000,21/08/2000,24/08/2000,28/08/2000,31/08/2000,4/09/2000,7/09/2000,11/09/2000,14/09/2000,18/09/2000,21/09/2000,25/09/2000,28/09/2000,2/10/2000,5/10/2000,9/10/2000,12/10/2000,16/10/2000,19/10/2000,24/10/2000,26/10/2000,31/10/2000,2/11/2000,6/11/2000,9/11/2000,13/11/2000,16/11/2000,20/11/2000,23/11/2000,28/11/2000,1/12/2000,Total
Melbourne,-37.75,144.96,2000,2000,10,2,4,7,7,36,10,2,36,10,11,11,4,14,4,10,15,19,42,45,1,36,3,1,3,21,17,41,16,150,104,136,112,86,59,62,12,25,63,45,23,15,1,,,,,,,,,1331
Melbourne,-37.75,144.96,2000,2000,16,0,0,34,7,43,5,6,25,7,4,4,0,6,1,7,1,2,17,14,0,19,0,3,2,0,0,0,2,10,24,7,22,4,19,9,2,11,22,0,0,0,,,,,,,,,,355
Melbourne,-37.75,144.96,2000,2000,54,3,1,3,3,65,2,35,1,12,0,18,2,29,0,2,13,8,24,14,0,4,1,7,2,1,0,2,6,21,26,19,32,20,19,22,0,3,30,0,0,0,0,0,0,,,,,,,504
Launceston,-41.15,146.89,2000,2000,15,16,1,26,0,55,6,8,24,2,21,23,1,6,6,8,7,12,31,34,1,39,0,12,1,13,12,15,3,6,42,0,57,0,0,0,0,0,,,,,,,,,,,,,,503
Launceston,-41.15,146.89,2000,2000,19,61,0,10,1,37,8,28,18,21,12,20,0,16,0,3,38,1,37,3,6,21,5,11,2,8,0,17,20,21,82,13,23,3,17,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,598
Launceston,-41.15,146.89,2000,2000,11,2,0,9,4,60,17,1,10,34,3,6,1,29,2,2,22,4,47,35,7,13,3,6,0,20,22,37,21,84,21,45,21,16,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,623
Launceston,-41.15,146.89,2000,2000,26,40,1,5,13,94,14,12,49,7,6,7,0,18,9,4,23,20,54,68,7,35,1,31,6,23,23,40,33,60,162,65,87,74,37,34,15,12,48,105,58,94,5,0,0,19,8,27,0,17,0,1596
Launceston,-41.15,146.89,2000,2000,28,40,0,17,2,93,17,36,60,28,4,33,11,21,6,26,51,39,92,63,6,67,6,44,26,46,8,39,42,123,148,45,60,12,27,41,0,11,18,31,30,20,0,,,,,,,,,1517
Launceston,-41.15,146.89,2000,2000,19,8,0,21,9,80,1,8,17,1,2,32,0,3,4,1,24,8,15,28,22,7,2,20,3,14,5,21,24,61,151,51,68,38,27,35,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,831
Launceston,-41.15,146.89,2000,2000,17,2,1,30,8,54,5,60,6,26,2,37,0,20,0,14,31,8,34,27,3,12,0,7,0,2,10,15,6,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,437
Launceston,-41.15,146.89,2000,2000,8,18,0,22,0,18,7,10,43,0,5,17,1,15,0,9,26,11,20,34,2,15,8,7,0,4,6,14,10,85,40,64,46,15,28,15,0,0,0,0,,,,,,,,,,,,623
Launceston,-41.15,146.89,2000,2000,14,32,4,13,13,63,4,19,29,5,5,21,0,9,0,4,12,4,39,30,1,15,2,16,6,1,1,2,8,20,81,12,35,3,0,21,5,0,0,0,0,0,0,0,,,,,,,,549
Launceston,-41.15,146.89,2000,2000,17,15,0,118,7,130,,39,49,1,1,1,0,1,0,1,3,13,5,16,2,23,1,2,0,7,1,5,2,46,75,81,46,37,60,58,20,8,28,91,59,34,0,,,,,,,,,1103
Launceston,-41.15,146.89,2000,2000,14,0,0,23,11,77,9,44,2,4,3,28,2,39,0,4,40,28,43,28,31,25,10,0,12,27,0,46,49,79,141,41,71,74,61,76,14,0,0,0,0,0,0,,,,,,,,,1156
Launceston,-41.15,146.89,2000,2000,3,47,0,31,8,41,0,55,14,34,16,14,2,14,0,0,21,16,37,17,0,30,4,7,5,25,12,25,19,71,65,68,86,40,52,58,16,38,31,106,59,40,58,0,0,0,0,0,0,0,0,1285
