Species,Population,Latitude,Longitude,Year_start,Year_end,Fly_number,Sex,Thorax_length,l2,3p,l3d,lpd,l3,w1,w2,w3,Wing_loading
D._buzzatii,Gogango_Creek,-23.77,150.17,1994,1994,6,female,1.086,1.719,0.530,1.474,2.003,2.002,0.863,1.186,1.031,1.843
D._buzzatii,Gogango_Creek,-23.77,150.17,1994,1994,7,female,1.040,1.709,0.559,1.507,2.065,2.065,0.896,1.226,1.033,1.985
D._buzzatii,Gogango_Creek,-23.77,150.17,1994,1994,8,female,1.083,1.550,0.482,1.413,1.894,1.892,0.851,1.172,0.915,1.747
D._buzzatii,Gogango_Creek,-23.77,150.17,1994,1994,9,female,1.134,1.777,0.577,1.504,2.081,2.080,0.894,1.230,1.061,1.834
D._buzzatii,Gogango_Creek,-23.77,150.17,1994,1994,10,female,1.047,1.689,0.520,1.464,1.984,1.984,0.859,1.203,0.983,1.895
D._buzzatii,Gogango_Creek,-23.77,150.17,1994,1994,11,female,1.136,1.756,0.611,1.465,2.077,2.075,0.898,1.260,1.041,1.827
D._buzzatii,Gogango_Creek,-23.77,150.17,1994,1994,12,female,0.928,1.476,0.487,1.275,1.761,1.761,0.765,1.057,0.884,1.897
D._buzzatii,Gogango_Creek,-23.77,150.17,1994,1994,13,female,0.854,1.524,0.510,1.292,1.801,1.801,0.792,1.043,0.948,2.110
D._buzzatii,Gogango_Creek,-23.77,150.17,1994,1994,14,female,1.109,1.828,0.585,1.595,2.180,2.178,0.884,1.260,1.034,1.965
D._buzzatii,Gogango_Creek,-23.77,150.17,1994,1994,15,female,0.923,1.547,0.525,1.305,1.830,1.826,0.818,1.116,0.936,1.979
D._buzzatii,Gogango_Creek,-23.77,150.17,1994,1994,16,female,0.928,1.509,0.481,1.301,1.781,1.781,0.782,1.045,0.926,1.919
D._buzzatii,Gogango_Creek,-23.77,150.17,1994,1994,17,female,0.904,1.523,0.470,1.316,1.785,1.785,0.777,1.061,0.917,1.974
D._buzzatii,Gogango_Creek,-23.77,150.17,1994,1994,18,female,0.910,1.487,0.497,1.290,1.787,1.785,0.801,1.103,0.899,1.962
D._buzzatii,Gogango_Creek,-23.77,150.17,1994,1994,19,female,1.119,1.775,0.591,1.483,2.074,2.074,0.885,1.242,1.038,1.854
D._buzzatii,Gogango_Creek,-23.77,150.17,1994,1994,20,female,1.010,1.667,0.544,1.385,1.923,1.922,0.815,1.129,0.993,1.902
D._buzzatii,Gogango_Creek,-23.77,150.17,1994,1994,21,female,0.980,1.537,0.491,1.355,1.846,1.845,0.790,1.080,0.921,1.883
D._buzzatii,Gogango_Creek,-23.77,150.17,1994,1994,22,female,0.908,1.513,0.486,1.305,1.791,1.791,0.783,1.073,0.911,1.973
