Population,Latitude,Longitude,Year_start,Year_end,Sex ,Cross_Line,Line,Starvation_resistance
Maryborough,-25.367,152.69,2000,2000,female,Line,45,68
Maryborough,-25.367,152.69,2000,2000,female,Line,45,68
Maryborough,-25.367,152.69,2000,2000,female,Line,47,36
Maryborough,-25.367,152.69,2000,2000,female,Line,47,42
Maryborough,-25.367,152.69,2000,2000,female,Line,47,42
Maryborough,-25.367,152.69,2000,2000,female,Line,47,36
Maryborough,-25.367,152.69,2000,2000,male,Line,1,36
Maryborough,-25.367,152.69,2000,2000,male,Line,1,36
Maryborough,-25.367,152.69,2000,2000,male,Line,1,42
Maryborough,-25.367,152.69,2000,2000,male,Line,1,30
Maryborough,-25.367,152.69,2000,2000,male,Line,1,36
Maryborough,-25.367,152.69,2000,2000,male,Line,1,48
Maryborough,-25.367,152.69,2000,2000,male,Line,1,48
Maryborough,-25.367,152.69,2000,2000,male,Line,1,42
Maryborough,-25.367,152.69,2000,2000,male,Line,2,42
Maryborough,-25.367,152.69,2000,2000,male,Line,2,42
Maryborough,-25.367,152.69,2000,2000,male,Line,2,42
Maryborough,-25.367,152.69,2000,2000,male,Line,2,42
Maryborough,-25.367,152.69,2000,2000,male,Line,2,54
Maryborough,-25.367,152.69,2000,2000,male,Line,2,48
Maryborough,-25.367,152.69,2000,2000,male,Line,2,60
Maryborough,-25.367,152.69,2000,2000,male,Line,2,42
Maryborough,-25.367,152.69,2000,2000,male,Line,2,42
Maryborough,-25.367,152.69,2000,2000,male,Line,2,42
Maryborough,-25.367,152.69,2000,2000,male,Line,2,48
Maryborough,-25.367,152.69,2000,2000,male,Line,2,48
Maryborough,-25.367,152.69,2000,2000,male,Line,3,36
Maryborough,-25.367,152.69,2000,2000,male,Line,3,42
Maryborough,-25.367,152.69,2000,2000,male,Line,3,30
Maryborough,-25.367,152.69,2000,2000,male,Line,3,36
Maryborough,-25.367,152.69,2000,2000,male,Line,3,48
Maryborough,-25.367,152.69,2000,2000,male,Line,3,42
Maryborough,-25.367,152.69,2000,2000,male,Line,3,42
Maryborough,-25.367,152.69,2000,2000,male,Line,3,42
Maryborough,-25.367,152.69,2000,2000,male,Line,4,30
Maryborough,-25.367,152.69,2000,2000,male,Line,4,42
Maryborough,-25.367,152.69,2000,2000,male,Line,4,48
Maryborough,-25.367,152.69,2000,2000,male,Line,4,42
Maryborough,-25.367,152.69,2000,2000,male,Line,6,42
Maryborough,-25.367,152.69,2000,2000,male,Line,6,42
Maryborough,-25.367,152.69,2000,2000,male,Line,6,36
Maryborough,-25.367,152.69,2000,2000,male,Line,6,42
Maryborough,-25.367,152.69,2000,2000,male,Line,10,54
Maryborough,-25.367,152.69,2000,2000,male,Line,10,48
Maryborough,-25.367,152.69,2000,2000,male,Line,10,48
Maryborough,-25.367,152.69,2000,2000,male,Line,10,42
Maryborough,-25.367,152.69,2000,2000,male,Line,19,36
Maryborough,-25.367,152.69,2000,2000,male,Line,19,54
Maryborough,-25.367,152.69,2000,2000,male,Line,19,48
Maryborough,-25.367,152.69,2000,2000,male,Line,19,54
Maryborough,-25.367,152.69,2000,2000,male,Line,21,42
Maryborough,-25.367,152.69,2000,2000,male,Line,21,48
Maryborough,-25.367,152.69,2000,2000,male,Line,21,48
Maryborough,-25.367,152.69,2000,2000,male,Line,21,54
Maryborough,-25.367,152.69,2000,2000,male,Line,23,42
Maryborough,-25.367,152.69,2000,2000,male,Line,23,54
Maryborough,-25.367,152.69,2000,2000,male,Line,23,42
Maryborough,-25.367,152.69,2000,2000,male,Line,23,42
Maryborough,-25.367,152.69,2000,2000,male,Line,43,42
Maryborough,-25.367,152.69,2000,2000,male,Line,43,36
Maryborough,-25.367,152.69,2000,2000,male,Line,43,36
Maryborough,-25.367,152.69,2000,2000,male,Line,43,42
Maryborough,-25.367,152.69,2000,2000,male,Line,47,42
Maryborough,-25.367,152.69,2000,2000,male,Line,47,36
Maryborough,-25.367,152.69,2000,2000,male,Line,47,
