Population,Latitude,Longitude,Year_start,Year_end,Run,Treatment,Heat_knockdown_time
Mackay,-21.300,149.15,2001,2001,1,winter,10.66
Mackay,-21.300,149.15,2001,2001,5,constant,11.09
Mackay,-21.300,149.15,2001,2001,4,winter,11.10
Mackay,-21.300,149.15,2001,2001,3,summer,11.17
Mackay,-21.300,149.15,2001,2001,4,summer,11.30
Mackay,-21.300,149.15,2001,2001,1,winter,11.35
Mackay,-21.300,149.15,2001,2001,1,constant,11.38
Mackay,-21.300,149.15,2001,2001,5,summer,11.39
Mackay,-21.300,149.15,2001,2001,4,summer,11.96
Mackay,-21.300,149.15,2001,2001,5,summer,12.04
Mackay,-21.300,149.15,2001,2001,3,summer,12.06
Mackay,-21.300,149.15,2001,2001,7,constant,12.10
Mackay,-21.300,149.15,2001,2001,1,summer,12.28
Mackay,-21.300,149.15,2001,2001,6,constant,12.54
Mackay,-21.300,149.15,2001,2001,1,constant,12.83
Mackay,-21.300,149.15,2001,2001,8,summer,13.09
Mackay,-21.300,149.15,2001,2001,4,winter,13.30
Mackay,-21.300,149.15,2001,2001,3,constant,13.47
Mackay,-21.300,149.15,2001,2001,5,summer,14.23
Mackay,-21.300,149.15,2001,2001,1,constant,14.32
Mackay,-21.300,149.15,2001,2001,2,summer,14.86
Mackay,-21.300,149.15,2001,2001,6,constant,15.50
North_Tasmania,-41.367,147.32,2001,2001,3,winter,2.11
North_Tasmania,-41.367,147.32,2001,2001,8,winter,3.03
North_Tasmania,-41.367,147.32,2001,2001,5,winter,3.06
North_Tasmania,-41.367,147.32,2001,2001,5,winter,3.23
North_Tasmania,-41.367,147.32,2001,2001,1,winter,3.56
North_Tasmania,-41.367,147.32,2001,2001,8,summer,4.38
North_Tasmania,-41.367,147.32,2001,2001,3,summer,4.42
North_Tasmania,-41.367,147.32,2001,2001,2,winter,4.58
North_Tasmania,-41.367,147.32,2001,2001,6,winter,4.68
North_Tasmania,-41.367,147.32,2001,2001,4,summer,4.75
North_Tasmania,-41.367,147.32,2001,2001,4,winter,4.81
North_Tasmania,-41.367,147.32,2001,2001,2,constant,4.90
