Location,Latitude,Longitude,Species,Year_start,Year_end
Maple_Creek,-17.683,145.700,D._birchii,1980,1980
Maroochydore,-26.650,153.083,D._serrata,1953,1953
Maryborough,-25.541,152.684,D._serrata,Unknown,Unknown
Mataranka,-14.917,133.117,D._serrata,1980,1980
Myall_Lakes,-32.443,152.321,D._serrata,1964,1964
Miriam_Vale,-24.334,151.584,D._sp._cf._jambulina,Unknown,Unknown
Miriam_Vale,-24.334,151.584,D._serrata,Unknown,Unknown
Montville,-26.683,152.883,D._serrata,1952,1952
Mossman,-16.467,145.358,D._sp._cf._jambulina,1999,1999
Mossman,-16.467,145.358,D._serrata,1999,1999
Mossman,-16.467,145.358,D._bunnanda,1999,1999
Mossman,-16.467,145.358,D._bunnanda,2001,2001
Mossman,-16.467,145.358,D._bunnanda,2002,2002
Mossman,-16.467,145.358,D._birchii,2000,2000
Mossman,-16.467,145.358,D._birchii,2001,2001
Mossman,-16.467,145.358,D._birchii,2002,2002
Mossman_Gorge,-16.470,145.325,D._bunnanda,1999,1999
Mossman_Gorge,-16.470,145.325,D._birchii,1977,1977
Mossman_Gorge,-16.470,145.325,D._birchii,1999,1999
Mossman_Gorge,-16.470,145.325,D._birchii,2000,2000
Mossman_Gorge,-16.470,145.325,D._birchii,2001,2001
Mossman_Gorge,-16.470,145.325,D._birchii,2002,2002
Mount_Baldy,-17.323,145.409,D._birchii,2002,2002
Mount_Bartle_Frere,-17.400,145.817,D._birchii,1976,1976
Mt_Bellenden_Ker,-17.233,145.867,D._birchii,Unknown,Unknown
Mt_Elliot,-19.434,146.704,D._sp._cf._jambulina,2002,2002
Mt_Elliot,-19.434,146.704,D._serrata,1998,1998
Mt_Elliot,-19.434,146.704,D._serrata,2002,2002
Mt_Glorious,-27.333,152.767,D._serrata,1994,1994
Mulgrave_River,-17.200,145.717,D._birchii,1980,1980
Mulgrave_River_Forestry_Rd,-17.250,145.783,D._birchii,1980,1980
Mulgrave_River_Forestry_Rd,-17.250,145.783,D._birchii,1993,1993
Mundubbera,-25.583,151.283,D._serrata,Unknown,Unknown
Nambucca_Heads,-30.617,153.000,D._serrata,Unknown,Unknown
Noosa,-26.333,152.900,D._serrata,1953,1953
Otford,-34.140,151.025,D._serrata,1991,1991
Palmerston_National_Park,-17.567,145.883,D._birchii,1977,1977
Paluma,-19.006,146.204,D._birchii,2002,2002
Paluma,-19.006,146.204,D._serrata,2002,2002
Peachester,-26.850,152.867,D._serrata,1977,1977
Pinegrove,-30.493,152.267,D._serrata,2000,2000
Proserpine,-20.400,148.550,D._serrata,Unknown,Unknown
Proserpine_Dryander_Valley,-20.217,148.567,D._serrata,Unknown,Unknown
Proserpine_Dryander_Valley,-20.217,148.567,D._birchii,Unknown,Unknown
Rainbow_Beach_(Bymien_PA),-25.952,153.102,D._serrata,Unknown,Unknown
Rainbow_Beach_(Freshwater_Rd),-25.941,153.089,D._serrata,Unknown,Unknown
Rainbow_Beach_(Noosa_River),-26.042,153.003,D._sp._cf._jambulina,Unknown,Unknown
Rainbow_Beach_(Noosa_River),-26.042,153.003,D._serrata,Unknown,Unknown
Rainbow_Beach_(Telegraph_Tk),-25.907,153.090,D._sp._cf._jambulina,Unknown,Unknown
Rainbow_Beach_(Telegraph_Tk),-25.907,153.090,D._serrata,Unknown,Unknown
Rainbow_Beach_(Water_tank),-25.906,153.091,D._serrata,2002,2002
Ravenshoe,-17.617,145.522,D._serrata,2002,2002
Ravenshoe,-17.617,145.522,D._birchii,2002,2002
Red_Rock,-29.984,153.224,D._serrata,Unknown,Unknown
Redcliffe,-27.217,153.100,D._serrata,Unknown,Unknown
