Population,Latitude,Longitude,Year_start,Year_end,Altitude_class,Altitude,Treatment,Run,Vial,Heat_knockdown_time
Springbrook,-28.23,153.27,2002,2002,high,1031,hardened,18,2,14
Springbrook,-28.23,153.27,2002,2002,high,1031,unhardened,1,1,19
Springbrook,-28.23,153.27,2002,2002,high,1031,unhardened,1,2,19
Springbrook,-28.23,153.27,2002,2002,high,1031,unhardened,2,1,15
Springbrook,-28.23,153.27,2002,2002,high,1031,unhardened,2,2,26
Springbrook,-28.23,153.27,2002,2002,high,1031,unhardened,3,1,19
Springbrook,-28.23,153.27,2002,2002,high,1031,unhardened,3,2,24
Springbrook,-28.23,153.27,2002,2002,high,1031,unhardened,4,1,18
Springbrook,-28.23,153.27,2002,2002,high,1031,unhardened,4,2,13
Springbrook,-28.23,153.27,2002,2002,high,1031,unhardened,5,1,15
Springbrook,-28.23,153.27,2002,2002,high,1031,unhardened,5,2,18
Springbrook,-28.23,153.27,2002,2002,high,1031,unhardened,6,1,19
Springbrook,-28.23,153.27,2002,2002,high,1031,unhardened,6,2,20
Springbrook,-28.23,153.27,2002,2002,high,1031,unhardened,7,1,18
Springbrook,-28.23,153.27,2002,2002,high,1031,unhardened,7,2,12
Springbrook,-28.23,153.27,2002,2002,high,1031,unhardened,8,1,12
Springbrook,-28.23,153.27,2002,2002,high,1031,unhardened,8,2,17
Springbrook,-28.23,153.27,2002,2002,high,1031,unhardened,9,1,11
Springbrook,-28.23,153.27,2002,2002,high,1031,unhardened,9,2,13
Springbrook,-28.23,153.27,2002,2002,high,1031,unhardened,10,1,19
Springbrook,-28.23,153.27,2002,2002,high,1031,unhardened,10,2,24
Springbrook,-28.23,153.27,2002,2002,high,1031,unhardened,11,1,15
Springbrook,-28.23,153.27,2002,2002,high,1031,unhardened,11,2,15
Springbrook,-28.23,153.27,2002,2002,high,1031,unhardened,12,1,22
Springbrook,-28.23,153.27,2002,2002,high,1031,unhardened,12,2,15
Springbrook,-28.23,153.27,2002,2002,high,1031,unhardened,13,1,21
